Source,Target,Weight,Label
Almidoni Artifoni,Stephen Dedalus,6,
Barney Kernan,Crimmins,1,
Blazes Boylan,blond girl in Thortnons,6,
Boody Dedalus,Maggy,6,
Blazes Boylan,Miss Dunne,5,
conductor,Fr. Conmee,4,
constable,Fr. Conmee,4,
constable,Corny Kelleher,5,
Dilly Dedalus,Simon Dedalus,6,
Dilly Dedalus,Stephen Dedalus,6,
Father Cowley,Simon Dedalus,5,
Father Cowley,Simon Dedalus,6,
Father Cowley,Ben Dollard,6,
Fr. Conmee,one legged sailor,5,
Fr. Conmee,Jack Sohan,6,
Fr. Conmee,Ger. Gallaher,6
Fr. Conmee,Bruny Lynam,6
Huckster,Stephen Dedalus,5
JJ. O'Molloy,Ned Lambert,6
John Wyse Nolan,Cunningham,6
Katey Dedalus,Maggy,6
Lenehan,Miss Dunne,5
Martin Cunningham,policeman,5
Martin Cunningham,Power,6
Mr Denis J Maginni,lady Maxwell,2
Mr. McGuiness,Fr. Conmee,5
Mrs. Sheehy,Fr. Conmee,6
Ned Lambert,Rev. Hugh C. Love,6
one legged sailor,Larry O'Rourke,5
one legged sailor,Katey Dedalus,5
one legged sailor,Boody Dedalus,5
Satchelled schoolboys,Fr. Conmee,4
shopman,Bloom,5
Simon Dedalus,lacquey,2
Simon Dedalus,Kernan,6
Simon Dedalus,Ben Dollard,6
stout woman,one legged sailor,5
Tom Rochford,Nosey Flynn,6
Tom Rochford,Lenehan,6
Tom Rochford,M'Coy,6
two unlabouring men,Fr. Conmee,4
urchin,one legged sailor,5
William Gallagher,Fr. Conmee,4
woman in window,one legged sailor,4
Young lovers,Fr. Conmee,5
